Id CCAA;CCAA;Id Provincia;Provincia;Edad;Titularidad;Alumnos
CA16;País Vasco;PR48;Bizkaia;3;Privada;4.525
CA17;Rioja, La;PR26;La Rioja;3;Privada;929
CA18;Ceuta;PR51;Ceuta;3;Privada;251
CA19;Melilla;PR52;Melilla;3;Privada;260
CA01;Andalucía;PR04;Almería;4;Pública;6.990
CA01;Andalucía;PR11;Cádiz;4;Pública;8.908
CA01;Andalucía;PR14;Córdoba;4;Pública;4.953
CA01;Andalucía;PR18;Granada;4;Pública;6.180
CA01;Andalucía;PR21;Huelva;4;Pública;4.163
CA01;Andalucía;PR23;Jaén;4;Pública;4.002
CA01;Andalucía;PR29;Málaga;4;Pública;11.862
CA01;Andalucía;PR41;Sevilla;4;Pública;14.673
CA02;Aragón;PR22;Huesca;4;Pública;1.576
CA02;Aragón;PR44;Teruel;4;Pública;916
CA02;Aragón;PR50;Zaragoza;4;Pública;5.796
CA03;Asturias, Principado de;PR33;Asturias;4;Pública;4.552
CA04;Balears, Illes;PR07;Baleares;4;Pública;6.839
CA05;Canarias;PR35;Las Palmas;4;Pública;6.599
CA05;Canarias;PR38;Santa Cruz de Tenerife;4;Pública;5.528
CA06;Cantabria;PR39;Cantabria;4;Pública;3.135
CA07;Castilla y León;PR05;Ávila;4;Pública;859
CA07;Castilla y León;PR09;Burgos;4;Pública;1.734
CA07;Castilla y León;PR24;León;4;Pública;2.005
CA07;Castilla y León;PR34;Palencia;4;Pública;800
CA07;Castilla y León;PR37;Salamanca;4;Pública;1.377
CA07;Castilla y León;PR40;Segovia;4;Pública;1.062
CA07;Castilla y León;PR42;Soria;4;Pública;561
CA07;Castilla y León;PR47;Valladolid;4;Pública;2.541
CA07;Castilla y León;PR49;Zamora;4;Pública;682
CA08;Castilla-La Mancha;PR02;Albacete;4;Pública;2.744
CA08;Castilla-La Mancha;PR13;Ciudad Real;4;Pública;3.470
CA08;Castilla-La Mancha;PR16;Cuenca;4;Pública;1.362
CA08;Castilla-La Mancha;PR19;Guadalajara;4;Pública;2.122
CA08;Castilla-La Mancha;PR45;Toledo;4;Pública;5.602
CA09;Cataluña;PR08;Barcelona;4;Pública;33.134
CA09;Cataluña;PR17;Girona;4;Pública;6.179
CA09;Cataluña;PR25;Lleida;4;Pública;3.146
CA09;Cataluña;PR43;Tarragona;4;Pública;6.095
CA10;Comunitat Valenciana;PR03;Alicante;4;Pública;12.691
CA10;Comunitat Valenciana;PR12;Castellón;4;Pública;4.104
CA10;Comunitat Valenciana;PR46;Valencia;4;Pública;13.604
CA11;Extremadura;PR06;Badajoz;4;Pública;4.766
CA11;Extremadura;PR10;Cáceres;4;Pública;2.275
CA12;Galicia;PR15;A Coruña;4;Pública;6.205
CA12;Galicia;PR27;Lugo;4;Pública;1.591
CA12;Galicia;PR32;Ourense;4;Pública;1.244
CA12;Galicia;PR36;Pontevedra;4;Pública;4.870
CA13;Madrid, Comunidad de;PR28;Madrid;4;Pública;36.130
CA14;Murcia, Región de;PR30;Murcia;4;Pública;11.225
